,lenght,type_of_gene
ENSG00000230426,,intergenic
ENSG00000216205,,unknown
ENSG00000066777,170166.0,protein-coding
ENSG00000136631,78050.0,protein-coding
ENSG00000251101,,unknown
ENSG00000261710,,unknown
ENSG00000279576,,unknown
ENSG00000252809,,unknown
ENSG00000257748,,unknown
ENSG00000230274,,unknown
ENSG00000196338,26370.0,protein-coding
ENSG00000251429,,unknown
ENSG00000263531,,unknown
ENSG00000230039,,unknown
ENSG00000240292,,unknown
ENSG00000115221,100647.0,protein-coding
ENSG00000184979,27498.0,protein-coding
ENSG00000242571,,unknown
ENSG00000272335,,unknown
ENSG00000164404,5703.0,protein-coding
ENSG00000271511,,unknown
ENSG00000199322,,unknown
ENSG00000111684,42324.0,protein-coding
ENSG00000240480,,pseudo
ENSG00000171243,69099.0,protein-coding
ENSG00000267041,58442.0,protein-coding
ENSG00000250180,,unknown
ENSG00000251535,,unknown
ENSG00000230335,,unknown
ENSG00000277297,,unknown
ENSG00000223202,,unknown
ENSG00000244089,,unknown
ENSG00000211459,,rRNA
ENSG00000272995,,unknown
ENSG00000231369,,unknown
ENSG00000251080,,unknown
ENSG00000251353,,unknown
ENSG00000111530,50670.0,protein-coding
ENSG00000120457,29679.0,protein-coding
ENSG00000231234,,unknown
ENSG00000131538,,ncRNA
ENSG00000250034,,unknown
ENSG00000268407,,unknown
ENSG00000187486,3472.0,protein-coding
ENSG00000272989,,unknown
ENSG00000271978,,unknown
ENSG00000214176,,unknown
ENSG00000100122,18810.0,protein-coding
ENSG00000201077,,unknown
ENSG00000092529,52818.0,protein-coding
ENSG00000112818,46392.0,protein-coding
ENSG00000200842,,unknown
ENSG00000113492,50034.0,protein-coding
ENSG00000056972,49824.0,protein-coding
ENSG00000143157,16897.0,protein-coding
ENSG00000181371,1046.0,protein-coding
ENSG00000280581,,unknown
ENSG00000250413,,unknown
ENSG00000275778,,unknown
ENSG00000173473,196834.0,protein-coding
ENSG00000253735,,unknown
ENSG00000142875,160436.0,protein-coding
ENSG00000239547,,unknown
ENSG00000237478,,unknown
ENSG00000016602,33676.0,protein-coding
ENSG00000253099,,unknown
ENSG00000203616,,unknown
ENSG00000168172,133607.0,protein-coding
ENSG00000240097,,unknown
ENSG00000251676,,unknown
ENSG00000256709,,unknown
ENSG00000233829,,unknown
ENSG00000109606,67109.0,protein-coding
ENSG00000261363,,unknown
ENSG00000226536,,unknown
ENSG00000235593,,antisense
ENSG00000279897,,antisense
ENSG00000213180,,unknown
ENSG00000183066,59731.0,protein-coding
ENSG00000206832,,unknown
ENSG00000277333,,unknown
ENSG00000229735,,unknown
ENSG00000276746,,unknown
ENSG00000200799,,unknown
ENSG00000254850,,unknown
ENSG00000276291,,unknown
ENSG00000234409,2638.0,protein-coding
ENSG00000215915,20469.0,protein-coding
ENSG00000085999,30785.0,protein-coding
ENSG00000265621,,unknown
ENSG00000265891,,unknown
ENSG00000280148,,unknown
ENSG00000110172,22204.0,protein-coding
ENSG00000165646,38357.0,protein-coding
ENSG00000235875,,antisense
ENSG00000260541,,unknown
ENSG00000258337,,unknown
ENSG00000248770,,unknown
ENSG00000184014,126565.0,protein-coding
ENSG00000225124,,unknown
ENSG00000248577,,unknown
ENSG00000276984,,unknown
ENSG00000281136,,unknown
ENSG00000278603,,unknown
ENSG00000113732,51688.0,protein-coding
ENSG00000238067,,unknown
ENSG00000252891,,unknown
ENSG00000138152,66856.0,protein-coding
ENSG00000230428,,unknown
ENSG00000232896,,unknown
ENSG00000257178,,unknown
ENSG00000213421,,unknown
ENSG00000201432,,unknown
ENSG00000264957,,unknown
ENSG00000253983,,unknown
ENSG00000278664,,unknown
ENSG00000102921,81422.0,protein-coding
ENSG00000167311,3813.0,protein-coding
ENSG00000143178,33386.0,protein-coding
ENSG00000276376,,unknown
ENSG00000163464,4150.0,protein-coding
ENSG00000236246,,unknown
ENSG00000281088,,unknown
ENSG00000254526,,unknown
ENSG00000223575,,unknown
ENSG00000201444,,unknown
ENSG00000232573,,unknown
ENSG00000261431,,unknown
ENSG00000253164,,unknown
ENSG00000250697,,unknown
ENSG00000277323,,unknown
ENSG00000238764,,unknown
ENSG00000281849,,unknown
ENSG00000241792,,unknown
ENSG00000167178,38229.0,protein-coding
ENSG00000251774,,unknown
ENSG00000260092,,unknown
ENSG00000092054,22980.0,protein-coding
ENSG00000088356,7750.0,protein-coding
ENSG00000176752,,unknown
ENSG00000223082,,unknown
ENSG00000237714,,antisense
ENSG00000200959,,snoRNA
ENSG00000270971,,unknown
ENSG00000267313,,ncRNA
ENSG00000151632,30631.0,protein-coding
ENSG00000269107,,unknown
ENSG00000268889,,unknown
ENSG00000258999,,unknown
ENSG00000270639,,unknown
ENSG00000078295,433873.0,protein-coding
ENSG00000147509,107495.0,protein-coding
ENSG00000250796,,unknown
ENSG00000270965,,unknown
ENSG00000239899,,unknown
ENSG00000272601,,unknown
ENSG00000084623,9676.0,protein-coding
ENSGR0000223511,,unknown
ENSG00000251455,,unknown
ENSG00000226394,,unknown
ENSG00000258985,,unknown
ENSG00000221042,,unknown
ENSG00000135912,44571.0,protein-coding
ENSG00000211725,,unknown
ENSG00000164104,3430.0,protein-coding
ENSG00000268234,,unknown
ENSG00000188991,89200.0,protein-coding
ENSG00000177889,36589.0,protein-coding
ENSG00000253270,,unknown
ENSG00000227023,,unknown
ENSG00000222011,60254.0,protein-coding
ENSG00000154678,548150.0,protein-coding
ENSG00000200530,,unknown
ENSG00000237595,,unknown
ENSG00000281146,,unknown
ENSG00000280692,,unknown
ENSG00000234421,,unknown
ENSG00000227172,,unknown
ENSG00000201142,,unknown
ENSG00000269095,,unknown
ENSG00000165029,147235.0,protein-coding
ENSG00000254577,,unknown
ENSG00000239523,,antisense
ENSG00000256073,,antisense
ENSG00000223569,1949.0,protein-coding
ENSG00000222760,,unknown
ENSG00000224336,,unknown
ENSG00000196290,14603.0,protein-coding
ENSG00000148677,9180.0,protein-coding
ENSG00000240912,,unknown
ENSG00000153898,71530.0,protein-coding
ENSG00000146085,32831.0,protein-coding
ENSG00000213669,,unknown
ENSG00000009844,77527.0,protein-coding
ENSG00000253926,,unknown
ENSG00000159263,50784.0,protein-coding
ENSG00000248847,,unknown
ENSG00000221376,,unknown
ENSG00000236900,,unknown
ENSG00000248810,,unknown
ENSG00000276605,,unknown
ENSG00000279361,,unknown
ENSG00000121766,67971.0,protein-coding
ENSG00000125746,38635.0,protein-coding
ENSG00000180846,,antisense
ENSG00000229613,,unknown
ENSG00000005421,27031.0,protein-coding
ENSG00000238075,,unknown
ENSG00000178623,25828.0,protein-coding
ENSG00000116690,18283.0,protein-coding
ENSG00000227293,,unknown
ENSG00000081853,174219.0,protein-coding
ENSG00000281568,,unknown
ENSG00000271222,,unknown
ENSG00000202119,,unknown
ENSG00000104804,17768.0,protein-coding
ENSG00000226432,,unknown
ENSG00000140854,21520.0,protein-coding
ENSG00000170959,539441.0,protein-coding
ENSG00000258545,,antisense
ENSG00000262708,,unknown
ENSG00000223377,,unknown
ENSG00000234467,,unknown
ENSG00000280499,,unknown
ENSG00000281490,,unknown
ENSG00000272921,,unknown
ENSG00000163221,1943.0,protein-coding
ENSG00000253131,,unknown
ENSG00000271322,,unknown
ENSG00000253583,,unknown
ENSG00000006377,5491.0,protein-coding
ENSG00000281098,,unknown
ENSG00000256420,,unknown
ENSG00000232751,,unknown
ENSG00000198105,81580.0,protein-coding
ENSG00000095794,86167.0,protein-coding
ENSG00000080910,15470.0,protein-coding
ENSG00000242757,,unknown
ENSG00000231857,,unknown
ENSG00000206997,,unknown
ENSG00000243053,,unknown
ENSG00000249613,,intergenic
ENSG00000270850,,unknown
ENSG00000257730,,unknown
ENSG00000275029,,unknown
ENSG00000023041,22489.0,protein-coding
ENSG00000211885,,unknown
ENSG00000258878,,unknown
ENSG00000233888,,unknown
ENSG00000278725,,unknown
ENSG00000221304,,unknown
ENSG00000249141,,unknown
ENSG00000184271,30772.0,protein-coding
ENSG00000173546,38526.0,protein-coding
ENSG00000233451,,unknown
ENSG00000268895,,antisense
ENSG00000242747,,unknown
ENSG00000250066,,unknown
ENSG00000178372,858.0,protein-coding
ENSG00000231699,,unknown
ENSG00000206987,,unknown
ENSG00000271704,,unknown
ENSG00000226598,,unknown
ENSG00000215264,,unknown
ENSG00000201998,,snoRNA
ENSG00000147439,48730.0,protein-coding
ENSG00000254542,,unknown
ENSG00000176383,5409.0,protein-coding
ENSG00000229834,,unknown
ENSG00000264009,,unknown
ENSG00000123560,18901.0,protein-coding
ENSG00000278313,,unknown
ENSG00000234068,3834.0,protein-coding
ENSG00000271916,,unknown
ENSG00000260691,42947.0,protein-coding
ENSG00000255032,,unknown
ENSG00000249042,,unknown
ENSG00000253549,,antisense
ENSG00000125744,11772.0,protein-coding
ENSG00000237906,,unknown
ENSG00000259660,,unknown
ENSG00000157315,8561.0,protein-coding
ENSG00000015532,17046.0,protein-coding
ENSG00000090382,5893.0,protein-coding
ENSG00000280904,,unknown
ENSG00000265538,,microRNA
ENSG00000218643,,unknown
ENSG00000215381,,unknown
ENSG00000238026,,unknown
ENSG00000275233,,unknown
ENSG00000272269,,unknown
ENSG00000165732,28945.0,protein-coding
ENSG00000232594,,unknown
ENSG00000103043,113722.0,protein-coding
ENSG00000199241,,unknown
ENSG00000262920,,unknown
ENSG00000124486,150944.0,protein-coding
ENSG00000136874,63708.0,protein-coding
ENSG00000226270,,unknown
ENSG00000257510,,intergenic
ENSG00000176812,,unknown
ENSG00000236828,,unknown
ENSG00000225513,,unknown
ENSG00000164105,7563.0,protein-coding
ENSG00000216105,,unknown
ENSG00000206014,,unknown
ENSG00000143319,6908.0,protein-coding
ENSG00000264862,,unknown
ENSG00000266398,,unknown
ENSG00000250740,,unknown
ENSG00000166140,7998.0,protein-coding
ENSG00000236495,,unknown
ENSG00000207981,,microRNA
ENSG00000201354,,unknown
ENSG00000274238,,unknown
ENSG00000251983,,unknown
ENSG00000230994,,unknown
ENSG00000264595,,unknown
ENSG00000253678,,unknown
ENSG00000226705,,unknown
ENSG00000265918,,unknown
ENSG00000276883,,unknown
ENSG00000207323,,unknown
ENSG00000165730,67891.0,protein-coding
ENSG00000221017,,microRNA
ENSG00000175745,11391.0,protein-coding
ENSG00000186017,44783.0,protein-coding
ENSG00000213569,,unknown
ENSG00000212581,,unknown
ENSG00000221852,1176.0,protein-coding
ENSG00000123562,12662.0,protein-coding
ENSG00000272419,,unknown
ENSG00000264653,,microRNA
ENSG00000255400,,unknown
ENSG00000229508,,unknown
ENSG00000261122,,intergenic
ENSG00000274155,,unknown
ENSG00000073756,8636.0,protein-coding
ENSG00000074755,138575.0,protein-coding
ENSG00000226082,,unknown
ENSG00000230747,,unknown
ENSG00000201658,,unknown
ENSG00000164299,2217.0,protein-coding
ENSG00000256167,,unknown
ENSG00000279248,,unknown
ENSG00000250886,,unknown
ENSG00000137500,27310.0,protein-coding
ENSG00000255510,,unknown
ENSG00000159082,99289.0,protein-coding
ENSG00000248498,,pseudo
ENSG00000245910,,ncRNA
ENSG00000264134,,unknown
ENSG00000249462,,unknown
ENSG00000267430,,unknown
ENSG00000278507,,unknown
ENSG00000159202,20687.0,protein-coding
ENSG00000277349,,unknown
ENSG00000232829,,unknown
ENSG00000233236,,unknown
ENSG00000136861,191301.0,protein-coding
ENSG00000267598,,unknown
ENSG00000212618,,unknown
ENSG00000236324,,unknown
ENSG00000221053,,unknown
ENSG00000229343,,unknown
ENSG00000118113,15255.0,protein-coding
ENSG00000131849,7408.0,protein-coding
ENSG00000120937,1467.0,protein-coding
ENSG00000258121,,unknown
ENSG00000216710,,unknown
ENSG00000266305,,microRNA
ENSG00000236358,,unknown
ENSG00000256508,,antisense
ENSG00000179460,,unknown
ENSG00000278517,,microRNA
ENSG00000254299,,unknown
ENSG00000188352,337646.0,protein-coding
ENSG00000280081,,intergenic
ENSG00000215190,,pseudo
ENSG00000225920,,unknown
ENSG00000003147,149503.0,protein-coding
ENSG00000266038,,microRNA
ENSG00000260524,,unknown
ENSG00000254688,,unknown
ENSG00000154025,72250.0,protein-coding
ENSG00000021762,79623.0,protein-coding
ENSG00000265267,,unknown
ENSG00000232379,,unknown
ENSG00000197214,,unknown
ENSG00000150750,40596.0,protein-coding
ENSG00000241959,,unknown
ENSG00000248714,,ncRNA
ENSG00000274268,,unknown
ENSG00000233718,21212.0,protein-coding
ENSG00000156076,70940.0,protein-coding
ENSG00000235862,,unknown
ENSG00000160867,11258.0,protein-coding
ENSG00000255176,,unknown
ENSG00000281780,,unknown
ENSG00000262514,,unknown
ENSG00000261268,,unknown
ENSG00000254676,,unknown
ENSG00000134987,38786.0,protein-coding
ENSG00000121060,77693.0,protein-coding
ENSG00000280269,,unknown
ENSG00000223091,,unknown
ENSG00000237833,,unknown
ENSG00000197233,941.0,protein-coding
ENSG00000229269,,unknown
ENSG00000263921,,unknown
ENSG00000233880,,unknown
ENSG00000172197,110254.0,protein-coding
ENSG00000130545,3444.0,protein-coding
ENSG00000235280,,unknown
ENSG00000261573,,unknown
ENSG00000255231,,unknown
ENSG00000258673,,intergenic
ENSG00000132953,125719.0,protein-coding
ENSG00000223720,,unknown
ENSG00000100012,24090.0,protein-coding
ENSG00000253286,,unknown
ENSG00000112697,32044.0,protein-coding
ENSG00000224978,,unknown
ENSG00000273249,,unknown
ENSG00000231566,,intergenic
ENSG00000230799,,unknown
ENSG00000223730,,unknown
ENSG00000273870,,unknown
ENSG00000223198,,unknown
ENSG00000134463,21704.0,protein-coding
ENSG00000226263,,unknown
ENSG00000225328,,intergenic
ENSG00000261048,,unknown
ENSG00000255238,,unknown
ENSG00000214485,,unknown
ENSG00000222051,,unknown
ENSG00000015285,14831.0,protein-coding
ENSG00000200235,,unknown
ENSG00000116663,10230.0,protein-coding
ENSG00000228108,,unknown
ENSG00000138658,97662.0,protein-coding
ENSG00000251286,,unknown
ENSG00000274642,,unknown
ENSG00000189376,21441.0,protein-coding
ENSG00000224236,,unknown
ENSG00000255218,,unknown
ENSG00000204580,23735.0,protein-coding
ENSG00000242012,,unknown
ENSG00000273806,,unknown
ENSG00000273520,,unknown
ENSG00000262561,,unknown
ENSG00000235920,,unknown
ENSG00000277942,,microRNA
ENSG00000212154,,unknown
ENSG00000241067,,unknown
ENSG00000252357,,unknown
ENSG00000242600,,pseudo
ENSG00000239481,,unknown
ENSG00000234202,,unknown
ENSG00000260848,,unknown
ENSG00000248724,,antisense
ENSG00000239179,,unknown
ENSG00000219867,,unknown
ENSG00000229716,,unknown
ENSG00000113361,135396.0,protein-coding
ENSG00000277904,,microRNA
ENSG00000272654,,unknown
ENSG00000066336,23716.0,protein-coding
ENSG00000232457,,unknown
ENSG00000249338,,unknown
ENSG00000182405,6611.0,protein-coding
ENSG00000254988,,unknown
ENSG00000266207,,unknown
ENSG00000197782,21786.0,protein-coding
ENSG00000218180,,unknown
ENSG00000200389,,unknown
ENSG00000234770,,unknown
ENSG00000179774,1479.0,protein-coding
ENSG00000230010,,unknown
ENSG00000184741,,unknown
ENSG00000228089,,unknown
ENSG00000212535,,unknown
ENSG00000266184,,unknown
ENSG00000274555,,unknown
ENSG00000233516,,unknown
ENSG00000218472,,unknown
ENSG00000236740,,ncRNA
ENSG00000243721,,unknown
ENSG00000233003,,unknown
ENSG00000220773,,unknown
ENSG00000186951,93235.0,protein-coding
ENSG00000101425,33382.0,protein-coding
ENSG00000269419,,unknown
ENSG00000239923,,unknown
ENSG00000204947,23562.0,protein-coding
ENSG00000259377,,unknown
ENSG00000262899,,unknown
ENSG00000254314,,unknown
ENSG00000263909,,microRNA
ENSG00000170100,19368.0,protein-coding
ENSG00000121335,109501.0,protein-coding
ENSG00000233531,,pseudo
ENSG00000273964,,unknown
ENSG00000251219,,unknown
ENSG00000253747,,unknown
ENSG00000257343,,unknown
ENSG00000249337,,unknown
ENSG00000261496,,unknown
ENSG00000121064,28663.0,protein-coding
ENSG00000211798,,unknown
ENSG00000281386,,unknown
ENSG00000163069,17776.0,protein-coding
ENSG00000145321,62348.0,protein-coding
ENSG00000166819,15062.0,protein-coding
ENSG00000179097,3139.0,protein-coding
ENSG00000238269,3846.0,protein-coding
ENSG00000275167,,microRNA
ENSG00000222416,,unknown
ENSG00000253314,,unknown
ENSG00000143756,47960.0,protein-coding
ENSG00000167004,26887.0,protein-coding
ENSG00000267232,,unknown
ENSG00000197498,46248.0,protein-coding
ENSG00000257360,,unknown
ENSG00000204031,,unknown
ENSG00000157500,50379.0,protein-coding
ENSG00000231781,,unknown
ENSG00000268985,,unknown
ENSG00000270133,,unknown
ENSG00000151461,123148.0,protein-coding
ENSG00000258623,,unknown
ENSG00000224791,,unknown
ENSG00000123572,136067.0,protein-coding
ENSG00000225258,,unknown
ENSG00000241717,,unknown
ENSG00000205636,,intergenic
ENSG00000249474,,unknown
ENSG00000124107,2325.0,protein-coding
ENSG00000251456,,unknown
ENSG00000270123,,unknown
ENSG00000241334,,unknown
ENSG00000279152,,unknown
ENSG00000248126,,unknown
ENSG00000259137,,unknown
ENSG00000259367,,unknown
ENSG00000234765,,unknown
ENSG00000237400,,unknown
ENSG00000142856,152951.0,protein-coding
ENSG00000240477,,unknown
ENSG00000242461,,unknown
ENSG00000253203,,unknown
ENSG00000198113,4892.0,protein-coding
ENSG00000240199,,unknown
ENSG00000125686,47001.0,protein-coding
ENSG00000207171,,unknown
ENSG00000261470,,unknown
ENSG00000256777,,unknown
ENSG00000263609,,unknown
ENSG00000147571,2343.0,protein-coding
ENSG00000254890,,unknown
ENSG00000161594,12699.0,protein-coding
ENSG00000269504,,unknown
ENSG00000258227,19650.0,protein-coding
ENSG00000227685,,unknown
ENSG00000261446,,intergenic
ENSG00000280114,,unknown
ENSG00000244462,16031.0,protein-coding
ENSG00000150593,28211.0,protein-coding
ENSG00000231827,,pseudo
ENSG00000086619,66430.0,protein-coding
ENSG00000211593,,unknown
ENSG00000281181,,unknown
ENSG00000261683,,intergenic
ENSG00000184898,13939.0,protein-coding
ENSG00000234406,,unknown
ENSG00000256399,,unknown
ENSG00000245857,,ncRNA
ENSG00000172324,9443.0,protein-coding
ENSG00000100271,49784.0,protein-coding
ENSG00000188710,4110.0,protein-coding
ENSG00000273366,,unknown
ENSG00000167459,,intergenic
ENSG00000265593,,unknown
ENSG00000231966,,unknown
ENSG00000161996,18522.0,protein-coding
ENSG00000141639,171746.0,protein-coding
ENSG00000273151,,unknown
ENSG00000254166,,ncRNA
ENSG00000233258,,unknown
ENSG00000276095,,unknown
ENSG00000267004,,unknown
ENSG00000238593,,unknown
ENSG00000144460,254308.0,protein-coding
ENSG00000273129,,antisense
ENSG00000249984,,unknown
ENSG00000274292,,unknown
ENSG00000231207,,unknown
ENSG00000224114,,unknown
ENSG00000263558,,unknown
ENSG00000237593,,unknown
ENSG00000115592,9703.0,protein-coding
ENSG00000273069,,unknown
ENSG00000232204,,unknown
ENSG00000198301,50012.0,protein-coding
ENSG00000232752,,unknown
ENSG00000238819,,unknown
ENSG00000259379,,unknown
ENSG00000231897,,unknown
ENSG00000170903,26780.0,protein-coding
ENSG00000249115,12605.0,protein-coding
ENSG00000064932,66647.0,protein-coding
ENSG00000274568,,unknown
ENSG00000232197,,unknown
ENSG00000104870,19517.0,protein-coding
ENSG00000274860,,unknown
ENSG00000118579,19474.0,protein-coding
ENSG00000200807,,unknown
ENSG00000235268,2338.0,protein-coding
ENSG00000136367,35337.0,protein-coding
ENSG00000256037,,unknown
ENSG00000232187,,unknown
ENSG00000220349,,unknown
ENSG00000275759,,unknown
ENSG00000277769,,unknown
ENSG00000204659,2391.0,protein-coding
ENSG00000269154,,unknown
ENSG00000233452,,unknown
ENSG00000173545,14273.0,protein-coding
ENSG00000211796,,unknown
ENSG00000162601,45353.0,protein-coding
ENSG00000232928,,unknown
ENSG00000255750,,unknown
ENSG00000216824,,unknown
ENSG00000238460,,unknown
ENSG00000241743,,unknown
ENSG00000215263,,unknown
ENSG00000138772,58932.0,protein-coding
ENSG00000280388,,unknown
ENSG00000270099,,unknown
ENSG00000225605,,unknown
ENSG00000241891,,unknown
ENSG00000254595,,unknown
ENSG00000233014,,unknown
ENSG00000273678,,unknown
ENSG00000153976,106238.0,protein-coding
ENSG00000186567,22081.0,protein-coding
ENSG00000226840,,unknown
ENSG00000255117,,intergenic
ENSG00000271199,,unknown
ENSG00000170419,28755.0,protein-coding
ENSG00000055070,45570.0,protein-coding
ENSG00000269584,,unknown
ENSG00000087495,270202.0,protein-coding
ENSG00000247011,,unknown
ENSG00000235519,,intergenic
ENSG00000260490,,unknown
ENSG00000121957,59195.0,protein-coding
ENSG00000258413,,unknown
ENSG00000264260,,unknown
ENSG00000259364,,unknown
ENSG00000264446,,unknown
ENSG00000151962,47600.0,protein-coding
ENSG00000144136,17970.0,protein-coding
